clustering,assortativity,transitivity,modularity,degree mean,degree std,nodes,edges,shortest path,genres
0.37,0.23,0.34,0.19,0.17,0.32,0.2,0.09,0.21,Comedy
0.57,0.47,0.24,0.84,0.09,0.18,0.5,0.16,0.71,Action
0.7,0.48,0.28,0.48,0.21,0.34,0.41,0.2,0.35,Action
0.54,0.44,0.56,0.37,0.36,0.48,0.32,0.23,0.23,Comedy
0.67,0.4,0.45,0.24,0.28,0.35,0.23,0.15,0.26,Adventure
0.6,0.45,0.74,0.03,0.21,0.12,0.05,0.04,0.12,Action
0.69,0.5,0.5,0.31,0.31,0.35,0.25,0.17,0.27,Crime
0.77,0.33,0.54,0.21,0.29,0.34,0.18,0.12,0.17,Drama
0.58,0.66,0.41,0.59,0.24,0.28,0.42,0.22,0.42,Action
0.62,0.68,0.56,0.4,0.27,0.2,0.16,0.11,0.27,Action
0.68,0.57,0.37,0.64,0.22,0.27,0.3,0.15,0.34,Action
0.86,0.25,0.53,0.21,0.4,0.5,0.25,0.21,0.17,Comedy
0.69,0.44,0.12,0.31,0.22,0.57,0.57,0.28,0.24,Biography
0.81,0.74,0.61,0.34,0.33,0.34,0.25,0.18,0.31,Horror
0.71,0.48,0.67,0.19,0.38,0.32,0.16,0.14,0.13,Action
0.66,0.55,0.51,0.72,0.27,0.36,0.49,0.27,0.39,Comedy
0.36,0.32,0.47,0.17,0.13,0.16,0.1,0.05,0.25,Comedy
0.65,0.4,0.25,0.33,0.24,0.47,0.39,0.21,0.24,Drama
0.54,0.39,0.05,0.45,0.1,0.41,0.43,0.14,0.27,Biography
0.4,0.35,0.53,0.12,0.19,0.18,0.1,0.06,0.2,Horror
0.65,0.74,0.79,0.1,0.54,0.38,0.19,0.21,0.16,Action
0.87,0.4,0.36,0.35,0.38,0.54,0.39,0.29,0.22,Comedy
0.62,0.33,0.3,0.25,0.18,0.32,0.21,0.1,0.19,Action
0.45,0.56,0.4,0.47,0.15,0.19,0.21,0.09,0.37,Drama
0.83,0.43,0.49,0.32,0.47,0.5,0.31,0.28,0.19,Adventure
0.74,0.42,0.44,0.31,0.37,0.4,0.25,0.19,0.19,Comedy
0.53,0.67,0.37,0.59,0.27,0.4,0.57,0.32,0.48,Action
